full_date,date,weekday,time,mood,activities,note_title,note
2024-12-17,Dec 17,Tuesday,21:34,good,,"",""
2024-12-16,Dec 16,Monday,01:07,meh,,"",""
2024-12-15,Dec 15,Sunday,18:26,good,,"",""
2024-12-14,Dec 14,Saturday,17:12,awful,,"",""
2024-12-14,Dec 14,Saturday,14:41,bad,,"",""     
2024-12-13,Dec 13,Friday,20:00,meh,,"",""
2024-12-12,Dec 12,Thursday,14:06,awful,,"",""
2024-12-11,Dec 11,Wednesday,21:59,bad,,"",""
2024-12-10,Dec 10,Tuesday,20:00,meh,,"",""
2024-12-09,Dec 9,Monday,19:45,awful,,"",""
2024-12-08,Dec 8,Sunday,15:22,awful,,"",""
2024-12-07,Dec 7,Saturday,03:52,good,,"",""   
2024-12-06,Dec 6,Friday,11:44,bad,,"",""
2024-12-05,Dec 5,Thursday,12:17,meh,,"",""
2024-12-04,Dec 4,Wednesday,02:07,meh,,"",""
2024-12-03,Dec 3,Tuesday,20:00,awful,,"",""
2024-12-02,Dec 2,Monday,20:00,bad,,"",""
2024-12-01,Dec 1,Sunday,20:00,rad,,"",""
2024-11-30,Nov 30,Saturday,23:12,meh,,"",""
2024-11-29,Nov 29,Friday,18:45,meh,,"",""
2024-11-28,Nov 28,Thursday,11:07,meh,,"",""
2024-11-27,Nov 27,Wednesday,09:35,awful,,"",""
2024-11-26,Nov 26,Tuesday,14:23,awful,,"",""
2024-11-25,Nov 25,Monday,16:40,awful,,"",""
2024-11-24,Nov 24,Sunday,20:45,bad,,"",""
2024-11-23,Nov 23,Saturday,15:20,meh,,"",""
2024-11-22,Nov 22,Friday,13:12,awful,,"",""
2024-11-21,Nov 21,Thursday,10:54,meh,,"",""
2024-11-20,Nov 20,Wednesday,21:10,rad,,"",""
2024-11-19,Nov 19,Tuesday,18:36,good,,"",""
2024-11-18,Nov 18,Monday,16:00,good,,"",""
2024-11-17,Nov 17,Sunday,14:14,good,,"",""
2024-11-16,Nov 16,Saturday,09:50,rad,,"",""
2024-11-15,Nov 15,Friday,11:37,rad,,"",""
2024-11-14,Nov 14,Thursday,14:30,awful,,"",""
2024-11-13,Nov 13,Wednesday,17:15,bad,,"",""
2024-11-12,Nov 12,Tuesday,20:00,awful,,"",""
2024-11-11,Nov 11,Monday,19:12,bad,,"",""
2024-11-10,Nov 10,Sunday,18:00,bad,,"",""
2024-11-09,Nov 9,Saturday,16:44,good,,"",""
2024-11-08,Nov 8,Friday,11:32,good,,"",""
2024-11-07,Nov 7,Thursday,10:09,rad,,"",""
2024-11-06,Nov 6,Wednesday,20:45,rad,,"",""
2024-11-05,Nov 5,Tuesday,18:14,meh,,"",""
2024-11-04,Nov 4,Monday,13:55,awful,,"",""
2024-11-03,Nov 3,Sunday,12:23,awful,,"",""
2024-11-02,Nov 2,Saturday,20:00,bad,,"",""
2024-11-01,Nov 1,Friday,16:29,meh,,"",""
2024-10-31,Oct 31,Thursday,10:51,good,,"",""
2024-10-30,Oct 30,Wednesday,09:46,good,,"",""
2024-10-29,Oct 29,Tuesday,11:05,rad,,"",""
2024-10-28,Oct 28,Monday,14:40,good,,"",""
2024-10-27,Oct 27,Sunday,13:36,awful,,"",""
2024-10-26,Oct 26,Saturday,19:15,rad,,"",""
2024-10-25,Oct 25,Friday,17:25,good,,"",""
2024-10-24,Oct 24,Thursday,10:06,good,,"",""
2024-10-23,Oct 23,Wednesday,08:45,rad,,"",""
2024-10-22,Oct 22,Tuesday,20:00,meh,,"",""
2024-10-21,Oct 21,Monday,15:43,good,,"",""
2024-10-20,Oct 20,Sunday,12:12,rad,,"",""
2024-10-19,Oct 19,Saturday,16:30,good,,"",""
2024-10-18,Oct 18,Friday,13:15,good,,"",""
2024-10-17,Oct 17,Thursday,10:34,rad,,"",""
2024-10-16,Oct 16,Wednesday,11:01,good,,"",""
2024-10-15,Oct 15,Tuesday,14:08,bad,,"",""
2024-10-14,Oct 14,Monday,19:05,meh,,"",""
2024-10-13,Oct 13,Sunday,20:49,good,,"",""
2024-10-12,Oct 12,Saturday,09:31,rad,,"",""
2024-10-11,Oct 11,Friday,18:32,good,,"",""
2024-10-10,Oct 10,Thursday,14:16,meh,,"",""
2024-10-09,Oct 9,Wednesday,10:53,good,,"",""
2024-10-08,Oct 8,Tuesday,13:38,good,,"",""
2024-10-07,Oct 7,Monday,15:26,rad,,"",""
2024-10-06,Oct 6,Sunday,20:30,rad,,"",""
2024-10-05,Oct 5,Saturday,11:45,good,,"",""
2024-10-04,Oct 4,Friday,08:44,good,,"",""
2024-10-03,Oct 3,Thursday,16:23,good,,"",""
2024-10-02,Oct 2,Wednesday,18:53,meh,,"",""
2024-10-01,Oct 1,Tuesday,14:10,rad,,"",""
2024-09-30,Sep 30,Monday,17:01,good,,"",""
2024-09-29,Sep 29,Sunday,10:06,good,,"",""
2024-09-28,Sep 28,Saturday,11:32,rad,,"",""
2024-09-27,Sep 27,Friday,12:18,meh,,"",""
2024-09-26,Sep 26,Thursday,15:37,good,,"",""

